"","Submission ID","user_id","Weight"
"1","4513616255254528","4612239391457280","1.623"
"2","4532504430903296","5413316500127744","0.071"
"3","4534695149436928","4623688364982272","0.251"
"4","4563559275823104","6540013249232896","2.168"
"5","4611683730063360","5508002778710016","2.168"
"6","4644597943500800","6165984914964480","2.168"
"7","4672763802157056","5900799583191040","1.623"
"8","4677762355560448","4704810163765248","0.071"
"9","4688299235737600","4665850238599168","0.071"
"10","4690496799375360","6095468279627776","0.251"
"11","4699490175680512","4511946905485312","0.071"
"12","4702272676954112","4508013990510592","0.071"
"13","4704453295603712","5526945052491776","1.623"
"14","4711824046686208","5149405121085440","1.623"
"15","4732723407880192","5631276334448640","0.196"
"16","4737170125094912","5078320392437760","0.071"
"17","4790014916165632","6519606987194368","0.071"
"18","4821346350268416","5494924922060800","0.071"
"19","4838152557297664","5719867970551808","0.071"
"20","4876064602718208","5638036864630784","0.071"
"21","4887226065092608","6135303044333568","1"
"22","4894221845397504","4581284790403072","2.168"
"23","4935715323117568","5646028901711872","2.168"
"24","4941658148569088","5955686379552768","0.071"
"25","4963506479431680","4879012703502336","0.071"
"26","4966028279545856","5251149381500928","0.071"
"27","4972854173761536","4823136588267520","0.071"
"28","4974855896956928","5047250154422272","2.168"
"29","4989547872780288","6284006388400128","1.623"
"30","5004791013703680","5777920359137280","0.131"
"31","5011841840054272","5785929139355648","0.071"
"32","5019656482717696","5742434466922496","0.071"
"33","5025981006610432","6372368092758016","0.071"
"34","5043510345203712","5029878790094848","0.071"
"35","5066150309003264","4531891055886336","0.311"
"36","5085003353161728","6235537615355904","1.623"
"37","5095013495865344","5018402771697664","0.377"
"38","5101627225407488","4550175906070528","0.071"
"39","5113819479932928","6612279261659136","0.071"
"40","5119217062641664","5045607463649280","1.623"
"41","5166410633052160","5772073230925824","2.168"
"42","5209199731277824","6743020716949504","2.168"
"43","5210093000589312","6105585595187200","0.071"
"44","5212815741419520","5659576763154432","0.251"
"45","5231514217086976","5906982649987072","0.251"
"46","5237882630176768","5084089699532800","0.071"
"47","5242328441421824","6316431445327872","0.071"
"48","5248183102603264","5788548859691008","0.251"
"49","5297169167548416","5081201602461696","0.071"
"50","5309550736179200","5516401981521920","2.168"
"51","5314397556441088","5950024572469248","2.168"
"52","5316687210217472","4503726447132672","1.623"
"53","5363364797349888","6032819839827968","0.071"
"54","5411803857944576","6368978533089280","2.168"
"55","5432396800065536","6568526631141376","0.071"
"56","5461489750900736","5061375572049920","0.071"
"57","5462891554406400","5566741112160256","1.623"
"58","5513948598894592","4539497744957440","0.071"
"59","5524963965272064","5785427156664320","2.168"
"60","5533849648627712","6708320468205568","0.071"
"61","5566791477362688","6346850752528384","2.168"
"62","5571478729523200","4797673765601280","2.168"
"63","5590631179878400","4812007380090880","1.623"
"64","5608545870151680","6277437688905728","0.071"
"65","5624881748901888","5681293871022080","0.071"
"66","5626014294867968","5022334327717888","0.071"
"67","5660272212312064","6315950182498304","2.168"
"68","5697537261174784","5938850804006912","1.623"
"69","5732984196694016","5075707701755904","0.071"
"70","5738652043575296","6591218889523200","0.071"
"71","5740376976261120","5742485033451520","0.131"
"72","5744459745329152","5142659497459712","0.251"
"73","5760151475453952","5188026968571904","2.168"
"74","5795116451889152","5715312956407808","0.043"
