"","Submission ID","user_id","Weight"
"1","4622472536915968","5781404793700352","1.241"
"2","4652162739863552","6157244901097472","0.833"
"3","4685765741903872","6394126088273920","0.833"
"4","4691869427302400","4905761352712192","0.833"
"5","4762583610163200","6518553394806784","0.833"
"6","4772889690374144","4792284152070144","0.546"
"7","4780512603013120","5357896112799744","0.833"
"8","4818606597341184","6632323236495360","0.833"
"9","4857734370164736","5626464175915008","1.241"
"10","4883643391279104","6074626413953024","0.833"
"11","5002837122351104","6167614586617856","1.241"
"12","5013516692750336","5352662603399168","1.241"
"13","5023971582672896","5961116024045568","0.833"
"14","5067780249092096","6329209558663168","0.833"
"15","5107734027173888","4567352201707520","1.241"
"16","5109951408898048","6312511931940864","0.833"
"17","5250151539802112","4900445387227136","0.833"
"18","5269825241481216","5671885820657664","1.241"
"19","5290335052496896","5873558660841472","1.241"
"20","5294927060402176","5782750825545728","1.241"
"21","5312556005326848","6355562003169280","1.241"
"22","5323020038832128","5210833671159808","0.833"
"23","5335400416280576","5645808648060928","0.833"
"24","5356444598403072","6106850639216640","1.241"
"25","5357688662523904","5177669479301120","0.833"
"26","5360759178264576","5544012891815936","1.241"
"27","5444973621936128","5582379108270080","1.241"
"28","5447216832184320","5066642317639680","0.833"
"29","5452909295435776","5680538685800448","0.833"
"30","5632445253419008","6573703476019200","0.833"
"31","5650537652158464","6247678560436224","0.833"
"32","5655290167689216","4849696211468288","0.833"
"33","5671822654439424","6414589265444864","1.241"
"34","5708302563147776","4932091753267200","0.833"
"35","5713639663992832","6251449266733056","1.241"
"36","5714032989044736","6487805371613184","0.833"
"37","5727726133313536","6177692054454272","0.833"
"38","5749007511715840","4685933987758080","0.833"
"39","5761143562567680","5392662665101312","0.833"
"40","5792986231996416","5648025616384000","0.833"
"41","5894261023965184","6630364387475456","0.833"
"42","5899244075220992","6356526122663936","0.833"
"43","5901806476197888","6266520148901888","0.833"
"44","5969680163143680","6389673472294912","1.241"
"45","6021150648565760","4743274974937088","0.833"
"46","6068703201067008","6192783799615488","0.833"
"47","6118912778043392","5544627432849408","1.241"
"48","6128863680397312","6529072378150912","0.833"
"49","6211009761771520","6644838938705920","1.241"
"50","6212998482624512","5732464321101824","1.241"
"51","6217872700080128","5599373988462592","0.833"
"52","6381847723114496","6601187994370048","0.833"
"53","6417256037482496","5252248607916032","1.241"
"54","6463415644848128","6349189009899520","0.833"
"55","6483315788611584","6424037925060608","1.241"
"56","6485519694036992","5979991440097280","0.833"
"57","6488435255410688","6107991984832512","0.833"
"58","6515572804943872","6393091316514816","0.833"
"59","6518592703823872","6729430039527424","0.833"
"60","6549661826154496","4520624350035968","0.833"
"61","6556950989635584","5148166680215552","0.833"
"62","6592284909633536","6032176299376640","0.17499999999999999"
"63","6672403451871232","5564550410403840","0.833"
"64","6679606749560832","6225051687583744","0.833"
"65","6750926103379968","4777536090013696","0.833"
"66","4531300380442624","5845546380820480","0.833"
"67","4570201660850176","6196997236457472","0.833"
"68","4614092468518912","5728280809832448","0.833"
"69","4614351961718784","5875805707304960","0.833"
"70","4684782798372864","6053397977890816","1.241"
"71","4724472524046336","5545178295959552","0.833"
"72","4737854148968448","5092238611447808","0.081"
"73","4801791045402624","6332638486069248","0.833"
"74","4804937863921664","5188990115774464","1.416"
"75","4851184377266176","5512019672039424","0.833"
"76","4975537236475904","5630762465099776","1.241"
"77","4990703671967744","4794116039507968","0.222"
"78","5028516564041728","6556411652472832","0.833"
"79","5049756771155968","6742443369168896","0.833"
"80","5083914109190144","6176284179431424","1.241"
"81","5099537321164800","6674951531659264","1.241"
"82","5172318478008320","4863146599383040","0.833"
"83","5194104699617280","6015614897618944","0.833"
"84","5204019648397312","5214539649122304","1.241"
"85","5204961588412416","4674299662696448","1.241"
"86","5209961718874112","6002048875102208","1.241"
"87","5222858046046208","4906880798556160","0.175"
"88","5251844159569920","5853279695929344","0.833"
"89","5271144064876544","5346515439321088","0.833"
"90","5375766112763904","6380909212467200","0.833"
"91","5390366719868928","6456782235631616","0.833"
"92","5426082459942912","4769682792644608","1.241"
"93","5453810366152704","6348279280566272","1.241"
"94","5457418541334528","6276070597459968","1.241"
"95","5476196692000768","6398023973208064","1.241"
"96","5489396519010304","5906001451286528","0.833"
"97","5516013588971520","6619262289707008","1.241"
"98","5517764593451008","5425330403934208","0.833"
"99","5518793825320960","5801532511748096","0.833"
"100","5526243714531328","5760610716614656","0.833"
"101","5564499592216576","5712201149054976","0.833"
"102","5697920989659136","4800820290519040","1.241"
"103","5761495531782144","6156391092322304","1.241"
"104","5769786345390080","5125970913918976","1.241"
"105","5845737020325888","6544707235610624","1.416"
"106","5873150454398976","4629748520321024","1.241"
"107","5877272465375232","5613942769188864","1.241"
"108","5973261578665984","4600316728180736","0.833"
"109","5973379103064064","5056045559578624","0.833"
